Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($)
Apple,Intel i7,4.0,1TB SSD,Nvidia RTX 3060,13.3,1366x768,11.8,2.33,FreeDOS,1472.52
Lenovo,AMD Ryzen 7,16.0,2TB SSD,Nvidia RTX 2060,13.3,1366x768,8.2,1.34,macOS,1158.51
Lenovo,Intel i5,16.0,1TB SSD,AMD Radeon RX 6800,13.3,3840x2160,6.0,2.55,Linux,1846.32
MSI,Intel i7,16.0,512GB SSD,AMD Radeon RX 6800,16.0,3840x2160,5.8,2.4,Windows,3411.78
Lenovo,AMD Ryzen 3,4.0,2TB SSD,AMD Radeon RX 6800,15.6,2560x1440,5.4,2.38,Windows,943.85
Microsoft,AMD Ryzen 5,8.0,1TB HDD,Integrated,17.3,3840x2160,5.3,3.02,Windows,1055.32
Samsung,AMD Ryzen 5,8.0,2TB SSD,Nvidia RTX 3080,13.3,1366x768,10.5,2.15,macOS,864.05
MSI,Intel i5,4.0,2TB SSD,Nvidia RTX 2060,16.0,1366x768,6.0,1.89,Linux,957.87
Dell,Intel i9,8.0,256GB SSD,Nvidia GTX 1650,17.3,2560x1440,9.3,2.21,Linux,2331.76
Apple,Intel i9,32.0,1TB HDD,Nvidia RTX 3060,17.3,1366x768,5.9,1.85,macOS,3009.84
HP,Intel i3,64.0,512GB SSD,Nvidia RTX 3060,15.6,1920x1080,6.6,3.13,Linux,2117.85
Apple,AMD Ryzen 9,16.0,256GB SSD,AMD Radeon RX 6800,13.3,3840x2160,9.3,2.56,Linux,4766.13
Dell,AMD Ryzen 7,32.0,1TB HDD,Nvidia RTX 3060,14.0,2560x1440,9.1,1.52,FreeDOS,1956.05
Lenovo,Intel i7,4.0,2TB SSD,Nvidia RTX 2060,14.0,1366x768,11.1,2.89,Windows,829.22
Dell,Intel i5,16.0,1TB SSD,AMD Radeon RX 6600,16.0,2560x1440,11.2,1.58,macOS,1608.91
Razer,Intel i7,4.0,256GB SSD,Nvidia RTX 2060,17.3,2560x1440,11.7,2.75,Linux,2102.57
MSI,Intel i9,32.0,512GB SSD,AMD Radeon RX 6800,14.0,2560x1440,11.1,3.17,Linux,4342.72
Microsoft,Intel i7,16.0,1TB HDD,AMD Radeon RX 6600,16.0,1366x768,4.4,2.02,FreeDOS,1205.3
Acer,Intel i9,8.0,256GB SSD,AMD Radeon RX 6800,13.3,3840x2160,5.1,1.97,Windows,2680.46
Samsung,AMD Ryzen 7,4.0,256GB SSD,Nvidia RTX 3060,15.6,1366x768,8.7,2.79,FreeDOS,982.66
Apple,Intel i3,8.0,256GB SSD,Nvidia RTX 2060,16.0,1920x1080,7.9,2.94,Windows,1440.95
Apple,AMD Ryzen 3,32.0,2TB SSD,Nvidia RTX 2060,16.0,1366x768,5.0,2.82,FreeDOS,1828.31
Dell,AMD Ryzen 3,32.0,512GB SSD,Integrated,17.3,2560x1440,7.2,2.74,macOS,1144.56
Dell,Intel i9,8.0,512GB SSD,Nvidia GTX 1650,14.0,1920x1080,4.2,2.96,FreeDOS,1584.71
Microsoft,AMD Ryzen 5,4.0,256GB SSD,Nvidia RTX 3080,16.0,3840x2160,9.1,3.38,macOS,1534.79
Samsung,Intel i3,64.0,1TB HDD,Nvidia GTX 1650,17.3,2560x1440,7.5,2.15,Windows,2393.27
Asus,Intel i9,16.0,512GB SSD,Nvidia RTX 3060,13.3,1366x768,11.2,2.6,FreeDOS,1524.82
Microsoft,Intel i9,8.0,1TB SSD,AMD Radeon RX 6600,13.3,2560x1440,10.8,3.45,FreeDOS,1971.24
MSI,Intel i5,64.0,1TB HDD,AMD Radeon RX 6800,16.0,1920x1080,9.3,2.77,macOS,2744.21
Microsoft,Intel i7,16.0,256GB SSD,Nvidia RTX 3080,14.0,3840x2160,11.8,1.72,Windows,2447.95
MSI,AMD Ryzen 5,32.0,2TB SSD,Nvidia RTX 3060,14.0,1920x1080,8.2,2.04,FreeDOS,1924.64
Microsoft,Intel i3,32.0,512GB SSD,Integrated,14.0,3840x2160,6.3,2.97,FreeDOS,1486.83
Apple,AMD Ryzen 9,32.0,1TB HDD,AMD Radeon RX 6800,13.3,2560x1440,9.0,2.79,macOS,4109.54
Acer,AMD Ryzen 5,32.0,2TB SSD,AMD Radeon RX 6800,16.0,1366x768,6.7,2.46,Linux,1337.99
MSI,AMD Ryzen 5,64.0,1TB SSD,AMD Radeon RX 6600,17.3,2560x1440,10.4,2.81,FreeDOS,4258.23
HP,AMD Ryzen 9,8.0,512GB SSD,Nvidia RTX 2060,14.0,1366x768,6.5,1.39,Linux,1431.67
Lenovo,Intel i9,16.0,256GB SSD,AMD Radeon RX 6600,14.0,2560x1440,8.4,3.17,macOS,2525.95
Lenovo,AMD Ryzen 9,16.0,1TB SSD,AMD Radeon RX 6800,13.3,1920x1080,10.1,1.98,FreeDOS,2032.97
MSI,Intel i5,64.0,512GB SSD,Nvidia RTX 2060,16.0,2560x1440,5.3,2.42,FreeDOS,4104.64
HP,AMD Ryzen 5,4.0,512GB SSD,Nvidia RTX 2060,17.3,1920x1080,9.8,2.74,FreeDOS,1043.75
Acer,Intel i9,64.0,512GB SSD,Integrated,16.0,1920x1080,5.4,1.5,Windows,2922.92
Microsoft,Intel i7,64.0,256GB SSD,Nvidia RTX 2060,16.0,3840x2160,10.8,3.39,macOS,5402.68
Dell,Intel i5,64.0,1TB SSD,Nvidia RTX 3060,14.0,1920x1080,10.3,2.1,FreeDOS,2527.63
Samsung,AMD Ryzen 5,4.0,256GB SSD,AMD Radeon RX 6800,14.0,2560x1440,6.9,2.55,Linux,1202.08
Apple,AMD Ryzen 9,16.0,1TB HDD,Nvidia RTX 2060,17.3,1920x1080,6.7,1.73,Linux,2584.71
Samsung,AMD Ryzen 7,64.0,2TB SSD,AMD Radeon RX 6800,13.3,1920x1080,5.7,3.09,FreeDOS,3034.0
Acer,AMD Ryzen 5,4.0,512GB SSD,Integrated,17.3,2560x1440,5.2,3.27,FreeDOS,829.69
Samsung,AMD Ryzen 7,8.0,512GB SSD,Nvidia RTX 3060,13.3,2560x1440,8.3,2.34,macOS,1626.62
Acer,Intel i3,8.0,512GB SSD,Nvidia RTX 3080,14.0,1920x1080,7.2,3.38,macOS,862.23
HP,Intel i9,32.0,2TB SSD,Nvidia RTX 3060,16.0,2560x1440,8.7,2.8,FreeDOS,3725.25
HP,AMD Ryzen 5,32.0,512GB SSD,Nvidia RTX 3060,14.0,1920x1080,5.5,2.37,FreeDOS,1500.1
Apple,AMD Ryzen 5,4.0,256GB SSD,AMD Radeon RX 6600,16.0,1366x768,9.3,1.21,macOS,1355.11
Microsoft,Intel i7,8.0,256GB SSD,Nvidia GTX 1650,17.3,2560x1440,5.0,3.24,macOS,1607.11
Asus,AMD Ryzen 7,64.0,256GB SSD,Nvidia RTX 3060,14.0,3840x2160,5.5,3.16,macOS,4840.82
Razer,Intel i5,16.0,1TB SSD,AMD Radeon RX 6600,16.0,2560x1440,4.5,1.37,macOS,2439.62
HP,AMD Ryzen 7,32.0,512GB SSD,AMD Radeon RX 6600,16.0,1920x1080,8.9,2.39,macOS,2164.79
Dell,Intel i5,16.0,256GB SSD,Nvidia RTX 3060,16.0,3840x2160,6.6,1.81,macOS,2065.57
Microsoft,Intel i9,64.0,512GB SSD,Nvidia GTX 1650,13.3,3840x2160,5.2,3.22,FreeDOS,6397.65
Microsoft,AMD Ryzen 9,8.0,256GB SSD,Nvidia GTX 1650,13.3,1366x768,6.5,1.28,Windows,1501.64
MSI,AMD Ryzen 3,16.0,512GB SSD,Nvidia RTX 2060,14.0,1920x1080,4.0,2.64,FreeDOS,1292.68
HP,AMD Ryzen 5,4.0,1TB SSD,AMD Radeon RX 6800,17.3,1366x768,8.3,3.02,Linux,955.89
Asus,Intel i5,32.0,2TB SSD,AMD Radeon RX 6800,16.0,1366x768,9.1,1.95,Linux,1458.67
Microsoft,AMD Ryzen 7,64.0,2TB SSD,Nvidia GTX 1650,15.6,3840x2160,10.3,1.99,Windows,5538.79
Samsung,AMD Ryzen 9,8.0,256GB SSD,Nvidia RTX 3060,14.0,2560x1440,10.6,1.76,FreeDOS,2086.84
Microsoft,AMD Ryzen 5,64.0,2TB SSD,Nvidia GTX 1650,16.0,1920x1080,11.5,3.03,Linux,2737.38
Apple,Intel i5,4.0,1TB SSD,Nvidia RTX 3080,14.0,1920x1080,7.7,2.39,FreeDOS,1489.67
MSI,Intel i5,32.0,512GB SSD,Nvidia RTX 2060,15.6,1920x1080,5.9,2.51,FreeDOS,2356.46
Razer,AMD Ryzen 3,64.0,512GB SSD,AMD Radeon RX 6800,15.6,1366x768,11.7,2.49,FreeDOS,2505.45
Razer,AMD Ryzen 5,32.0,2TB SSD,Nvidia GTX 1650,16.0,2560x1440,4.6,1.53,Linux,3108.1
Apple,Intel i5,32.0,1TB SSD,Nvidia RTX 3080,17.3,2560x1440,4.7,3.34,Windows,3294.85
Apple,Intel i3,32.0,2TB SSD,Nvidia GTX 1650,15.6,1366x768,4.9,2.62,macOS,1790.75
Dell,Intel i3,4.0,2TB SSD,Integrated,17.3,1920x1080,8.7,3.14,Windows,562.9
Apple,Intel i3,8.0,256GB SSD,Nvidia RTX 2060,14.0,1366x768,8.8,1.81,Linux,1039.49
Samsung,Intel i5,64.0,1TB HDD,Nvidia RTX 3060,14.0,1920x1080,7.8,3.47,Windows,2031.75
Samsung,Intel i5,32.0,256GB SSD,Integrated,14.0,3840x2160,8.7,1.46,FreeDOS,1769.86
MSI,AMD Ryzen 9,32.0,1TB HDD,Integrated,15.6,1920x1080,4.3,2.1,FreeDOS,1999.41
Apple,Intel i5,64.0,256GB SSD,Nvidia RTX 3060,14.0,1366x768,10.6,2.65,macOS,2977.69
Lenovo,AMD Ryzen 5,64.0,1TB HDD,Nvidia GTX 1650,16.0,1366x768,6.0,1.79,FreeDOS,1826.75
Lenovo,AMD Ryzen 9,64.0,256GB SSD,AMD Radeon RX 6600,13.3,1920x1080,11.3,1.28,FreeDOS,3867.03
Microsoft,Intel i7,16.0,2TB SSD,AMD Radeon RX 6600,14.0,1920x1080,5.5,2.88,macOS,1473.24
Samsung,AMD Ryzen 7,32.0,512GB SSD,AMD Radeon RX 6800,13.3,2560x1440,12.0,1.34,macOS,2411.3
Acer,Intel i7,64.0,1TB SSD,Integrated,17.3,1366x768,5.9,3.32,FreeDOS,1730.27
Acer,AMD Ryzen 9,8.0,512GB SSD,AMD Radeon RX 6800,17.3,3840x2160,6.0,2.27,macOS,2983.09
Asus,Intel i3,4.0,256GB SSD,AMD Radeon RX 6800,15.6,2560x1440,5.0,1.42,Linux,932.15
Lenovo,Intel i7,16.0,1TB HDD,Nvidia RTX 3080,14.0,1366x768,5.4,2.15,Windows,1099.47
HP,AMD Ryzen 9,8.0,2TB SSD,Nvidia RTX 3080,17.3,3840x2160,6.3,1.57,Linux,3010.35
MSI,Intel i3,16.0,2TB SSD,Nvidia RTX 3060,13.3,1366x768,8.6,3.34,Linux,1217.47
Razer,AMD Ryzen 3,8.0,1TB HDD,AMD Radeon RX 6600,16.0,3840x2160,9.3,2.13,FreeDOS,1635.02
Acer,AMD Ryzen 7,64.0,1TB SSD,AMD Radeon RX 6800,16.0,2560x1440,9.6,3.28,FreeDOS,4096.71
Asus,Intel i3,16.0,1TB HDD,Integrated,15.6,1366x768,4.7,3.19,macOS,588.52
Lenovo,AMD Ryzen 7,8.0,2TB SSD,AMD Radeon RX 6600,16.0,1366x768,8.1,1.85,macOS,1274.81
Dell,Intel i5,32.0,2TB SSD,AMD Radeon RX 6600,16.0,2560x1440,11.5,1.3,Linux,2195.0
Asus,AMD Ryzen 9,32.0,2TB SSD,AMD Radeon RX 6600,17.3,1366x768,11.3,2.51,Linux,2456.74
Samsung,AMD Ryzen 9,4.0,256GB SSD,Nvidia RTX 3060,16.0,1366x768,4.2,3.08,macOS,1448.55
Samsung,Intel i3,4.0,256GB SSD,Nvidia GTX 1650,17.3,3840x2160,8.3,1.34,FreeDOS,1358.73
Apple,AMD Ryzen 5,16.0,1TB SSD,Nvidia GTX 1650,16.0,1920x1080,4.1,2.29,macOS,1982.72
Lenovo,AMD Ryzen 5,16.0,1TB HDD,AMD Radeon RX 6800,14.0,1366x768,10.6,3.05,macOS,784.54
MSI,Intel i7,64.0,256GB SSD,Integrated,13.3,2560x1440,6.5,2.35,macOS,3219.07
Samsung,Intel i3,64.0,1TB HDD,Nvidia RTX 3060,13.3,1920x1080,11.9,3.42,FreeDOS,1648.0
Apple,AMD Ryzen 3,16.0,1TB SSD,Nvidia RTX 3080,14.0,3840x2160,7.4,3.37,macOS,2438.9
Microsoft,Intel i3,64.0,1TB HDD,AMD Radeon RX 6600,15.6,1366x768,7.6,1.61,Linux,1655.31
MSI,Intel i3,64.0,256GB SSD,AMD Radeon RX 6600,15.6,1366x768,10.3,1.84,macOS,2500.89
Dell,AMD Ryzen 5,64.0,1TB SSD,AMD Radeon RX 6800,13.3,1366x768,11.1,1.79,Linux,1870.72
HP,Intel i3,4.0,2TB SSD,Nvidia RTX 2060,13.3,1366x768,9.2,2.27,Windows,582.72
Samsung,AMD Ryzen 3,64.0,2TB SSD,Nvidia RTX 2060,14.0,3840x2160,5.7,2.18,macOS,3397.03
HP,Intel i3,8.0,512GB SSD,Nvidia RTX 3080,14.0,2560x1440,10.6,1.31,macOS,1155.14
HP,AMD Ryzen 9,32.0,1TB HDD,Nvidia RTX 2060,15.6,2560x1440,4.8,1.62,Linux,2914.45
MSI,AMD Ryzen 7,16.0,1TB SSD,AMD Radeon RX 6800,16.0,3840x2160,5.8,1.69,macOS,3466.26
MSI,AMD Ryzen 5,8.0,1TB HDD,AMD Radeon RX 6600,14.0,1920x1080,7.6,2.21,Linux,1136.06
Microsoft,AMD Ryzen 9,16.0,1TB HDD,AMD Radeon RX 6800,14.0,1920x1080,8.3,2.86,Linux,1547.28
Razer,Intel i3,4.0,1TB SSD,AMD Radeon RX 6800,15.6,3840x2160,8.2,2.02,Linux,1802.28
Acer,Intel i3,8.0,512GB SSD,Integrated,15.6,3840x2160,9.8,1.62,Linux,1124.16
HP,Intel i9,16.0,2TB SSD,Nvidia RTX 2060,13.3,1920x1080,6.9,1.63,Windows,1884.0
MSI,Intel i5,4.0,2TB SSD,AMD Radeon RX 6800,13.3,2560x1440,10.2,2.18,macOS,1470.41
Razer,Intel i5,16.0,1TB SSD,Nvidia RTX 3060,15.6,1920x1080,5.3,1.79,Windows,1878.29
Samsung,Intel i9,8.0,256GB SSD,Nvidia RTX 2060,14.0,1920x1080,9.7,2.13,Linux,1673.98
Razer,AMD Ryzen 3,32.0,1TB SSD,Nvidia RTX 3080,16.0,1920x1080,4.0,3.11,macOS,2087.41
Lenovo,AMD Ryzen 5,64.0,512GB SSD,Nvidia RTX 3060,13.3,2560x1440,9.9,1.33,FreeDOS,2843.03
Dell,AMD Ryzen 9,16.0,256GB SSD,AMD Radeon RX 6600,13.3,1366x768,4.9,1.22,Linux,1591.49
MSI,AMD Ryzen 7,8.0,512GB SSD,Nvidia RTX 2060,15.6,1920x1080,8.5,2.23,macOS,1936.21
Asus,Intel i9,4.0,256GB SSD,AMD Radeon RX 6800,16.0,2560x1440,7.1,1.35,Windows,2012.87
Lenovo,Intel i3,64.0,512GB SSD,Nvidia GTX 1650,14.0,1920x1080,8.5,2.64,macOS,2111.4
Acer,Intel i7,8.0,512GB SSD,Integrated,17.3,2560x1440,11.6,3.48,FreeDOS,1025.02
Acer,AMD Ryzen 9,8.0,1TB SSD,AMD Radeon RX 6800,13.3,3840x2160,11.0,2.95,Windows,2708.85
Apple,AMD Ryzen 9,4.0,256GB SSD,Nvidia RTX 3080,14.0,2560x1440,4.7,2.1,Linux,2682.86
Microsoft,Intel i5,8.0,2TB SSD,Nvidia RTX 3060,17.3,3840x2160,11.9,2.72,macOS,1824.52
HP,AMD Ryzen 9,64.0,512GB SSD,Nvidia RTX 3080,17.3,1366x768,5.0,3.35,Windows,3544.32
Acer,AMD Ryzen 3,16.0,1TB HDD,Nvidia RTX 2060,17.3,3840x2160,8.2,2.1,Windows,1385.55
Razer,AMD Ryzen 5,64.0,256GB SSD,Nvidia GTX 1650,14.0,2560x1440,4.8,1.22,FreeDOS,3989.36
Apple,AMD Ryzen 5,16.0,1TB HDD,Nvidia RTX 3080,16.0,1366x768,10.4,2.7,Linux,1492.54
Lenovo,Intel i7,16.0,256GB SSD,AMD Radeon RX 6600,14.0,1366x768,9.5,1.43,macOS,1226.13
Microsoft,Intel i3,32.0,2TB SSD,Nvidia RTX 3080,17.3,3840x2160,6.6,2.23,Linux,2403.09
Razer,Intel i9,16.0,256GB SSD,AMD Radeon RX 6600,14.0,1920x1080,4.2,2.94,Linux,2748.2
Dell,AMD Ryzen 3,64.0,256GB SSD,Nvidia RTX 2060,16.0,2560x1440,9.1,1.94,FreeDOS,2748.73
Samsung,Intel i9,64.0,512GB SSD,AMD Radeon RX 6800,16.0,3840x2160,7.2,1.81,macOS,7279.85
Razer,Intel i3,4.0,1TB HDD,Nvidia RTX 2060,17.3,1366x768,6.0,2.72,macOS,794.42
Acer,AMD Ryzen 5,4.0,256GB SSD,Nvidia RTX 3080,13.3,2560x1440,6.4,1.81,macOS,1170.04
Apple,Intel i3,16.0,1TB SSD,Integrated,16.0,1366x768,9.5,3.14,Windows,1033.42
Samsung,Intel i9,8.0,512GB SSD,Nvidia RTX 3060,15.6,3840x2160,6.3,1.23,Windows,2935.11
Acer,AMD Ryzen 5,4.0,1TB SSD,AMD Radeon RX 6800,16.0,3840x2160,11.3,1.95,macOS,1553.67
Dell,AMD Ryzen 5,4.0,512GB SSD,Nvidia GTX 1650,14.0,1366x768,7.7,2.86,FreeDOS,672.63
Microsoft,Intel i3,4.0,512GB SSD,Integrated,14.0,1366x768,10.8,3.42,Linux,484.46
Acer,AMD Ryzen 5,64.0,256GB SSD,Nvidia RTX 2060,15.6,2560x1440,10.6,1.7,Windows,3248.49
HP,Intel i9,8.0,1TB HDD,Nvidia RTX 2060,17.3,1366x768,10.7,1.61,macOS,1419.39
Dell,Intel i3,4.0,1TB HDD,Integrated,15.6,1920x1080,5.1,1.5,macOS,486.44
Lenovo,Intel i5,4.0,1TB HDD,Integrated,13.3,2560x1440,4.4,2.14,Linux,521.49
Microsoft,Intel i7,64.0,512GB SSD,Nvidia RTX 2060,15.6,1920x1080,8.8,2.85,Linux,3319.7
Samsung,AMD Ryzen 9,4.0,256GB SSD,Nvidia RTX 2060,16.0,2560x1440,4.1,2.85,Windows,2099.24
Samsung,AMD Ryzen 3,4.0,1TB SSD,Nvidia RTX 3060,14.0,2560x1440,7.2,1.28,FreeDOS,919.96
MSI,Intel i9,64.0,1TB SSD,Nvidia RTX 3080,13.3,2560x1440,9.4,1.54,Linux,6255.42
Microsoft,AMD Ryzen 9,32.0,512GB SSD,Nvidia RTX 3060,15.6,1366x768,4.2,1.49,FreeDOS,2501.13
Apple,Intel i5,64.0,1TB HDD,Nvidia RTX 3060,14.0,3840x2160,9.5,1.81,Linux,5035.71
Dell,AMD Ryzen 7,16.0,512GB SSD,AMD Radeon RX 6600,13.3,1366x768,6.5,3.48,macOS,1395.5
MSI,AMD Ryzen 9,64.0,512GB SSD,Nvidia RTX 3060,14.0,2560x1440,8.5,2.91,Windows,6244.34
Asus,AMD Ryzen 7,8.0,256GB SSD,Nvidia RTX 3060,16.0,2560x1440,10.9,2.9,FreeDOS,1690.27
Razer,Intel i9,4.0,2TB SSD,Nvidia GTX 1650,17.3,1920x1080,8.2,2.14,FreeDOS,2326.86
Apple,Intel i3,8.0,1TB HDD,Nvidia RTX 2060,16.0,3840x2160,7.4,3.35,Linux,1783.61
Samsung,Intel i5,8.0,1TB HDD,AMD Radeon RX 6600,16.0,1920x1080,7.9,3.11,FreeDOS,932.9
MSI,Intel i7,32.0,512GB SSD,Nvidia RTX 3080,16.0,1366x768,4.3,2.67,macOS,2502.09
Razer,AMD Ryzen 7,32.0,1TB HDD,Nvidia RTX 3060,15.6,2560x1440,6.9,1.5,Windows,3020.85
Apple,AMD Ryzen 5,8.0,1TB HDD,Integrated,13.3,1366x768,6.6,1.64,Windows,736.95
Apple,Intel i5,32.0,256GB SSD,AMD Radeon RX 6600,17.3,1366x768,5.7,3.47,Linux,2061.62
Lenovo,AMD Ryzen 9,16.0,256GB SSD,Integrated,14.0,2560x1440,8.7,2.37,Linux,1701.92
Asus,Intel i5,8.0,256GB SSD,Integrated,17.3,1366x768,8.5,2.26,Linux,504.84
Asus,AMD Ryzen 5,32.0,512GB SSD,AMD Radeon RX 6600,17.3,3840x2160,5.5,1.42,Windows,2961.81
Microsoft,Intel i3,16.0,1TB HDD,Nvidia GTX 1650,16.0,2560x1440,6.2,2.58,FreeDOS,1214.52
Dell,AMD Ryzen 5,8.0,2TB SSD,AMD Radeon RX 6600,15.6,2560x1440,8.6,3.19,Windows,1280.76
Razer,AMD Ryzen 9,64.0,1TB SSD,Nvidia GTX 1650,13.3,1920x1080,10.6,3.07,FreeDOS,5556.17
Microsoft,AMD Ryzen 5,4.0,2TB SSD,Nvidia RTX 3060,17.3,2560x1440,6.8,1.39,FreeDOS,1154.22
Microsoft,AMD Ryzen 9,32.0,2TB SSD,Nvidia RTX 2060,17.3,3840x2160,7.9,1.27,macOS,4820.1
HP,AMD Ryzen 5,4.0,256GB SSD,Integrated,14.0,1920x1080,8.4,3.17,Windows,677.92
Samsung,Intel i9,8.0,256GB SSD,AMD Radeon RX 6600,15.6,1920x1080,7.9,1.89,FreeDOS,1775.85
Samsung,AMD Ryzen 5,4.0,2TB SSD,Integrated,13.3,1366x768,6.5,1.68,Linux,468.87
Microsoft,Intel i7,64.0,512GB SSD,Nvidia RTX 2060,17.3,1366x768,5.3,3.19,Windows,2772.57
Razer,Intel i3,16.0,1TB SSD,Nvidia RTX 3080,14.0,1920x1080,5.1,1.79,macOS,1452.29
Apple,AMD Ryzen 9,64.0,1TB HDD,AMD Radeon RX 6800,15.6,1366x768,6.5,3.3,Windows,4451.83
Apple,AMD Ryzen 5,32.0,512GB SSD,Nvidia GTX 1650,13.3,1920x1080,9.2,2.07,Linux,2255.26
Lenovo,AMD Ryzen 7,32.0,1TB HDD,Nvidia RTX 3060,14.0,3840x2160,5.3,3.11,Linux,2869.08
Razer,Intel i7,64.0,1TB HDD,Nvidia RTX 2060,14.0,1366x768,11.8,1.38,Linux,2929.89
Samsung,AMD Ryzen 7,16.0,1TB HDD,Nvidia RTX 3060,14.0,1366x768,8.7,2.34,Linux,1204.88
Samsung,AMD Ryzen 3,32.0,1TB SSD,AMD Radeon RX 6600,15.6,1920x1080,8.2,1.62,Linux,1533.55
HP,Intel i3,16.0,1TB SSD,Integrated,13.3,3840x2160,6.8,2.2,FreeDOS,1129.93
Microsoft,Intel i7,32.0,256GB SSD,AMD Radeon RX 6800,15.6,2560x1440,10.6,2.95,FreeDOS,2649.27
Apple,AMD Ryzen 3,8.0,256GB SSD,Nvidia RTX 3060,17.3,2560x1440,8.0,1.53,macOS,1781.57
Razer,AMD Ryzen 3,4.0,1TB SSD,AMD Radeon RX 6600,14.0,2560x1440,7.2,2.75,macOS,1312.87
Acer,AMD Ryzen 3,32.0,1TB HDD,Nvidia RTX 3060,16.0,1920x1080,4.6,3.21,FreeDOS,1367.32
Lenovo,AMD Ryzen 9,16.0,1TB SSD,Nvidia RTX 3080,16.0,3840x2160,7.3,2.9,FreeDOS,3653.37
Microsoft,Intel i9,64.0,1TB HDD,AMD Radeon RX 6800,13.3,2560x1440,10.7,3.46,Linux,3975.54
HP,AMD Ryzen 5,64.0,512GB SSD,Nvidia RTX 2060,15.6,1366x768,7.3,1.25,Windows,2270.7
Samsung,Intel i3,64.0,1TB SSD,Integrated,13.3,1366x768,8.6,3.0,macOS,1131.05
Microsoft,AMD Ryzen 5,8.0,512GB SSD,Integrated,15.6,1920x1080,10.3,3.25,macOS,860.9
Lenovo,AMD Ryzen 5,16.0,2TB SSD,Nvidia GTX 1650,13.3,1366x768,6.5,2.87,Linux,1109.35
Lenovo,Intel i3,64.0,2TB SSD,Nvidia RTX 3060,16.0,2560x1440,11.3,1.83,Linux,2766.87
Acer,AMD Ryzen 5,32.0,1TB HDD,AMD Radeon RX 6800,16.0,1920x1080,6.9,3.17,Windows,1548.23
Apple,AMD Ryzen 9,8.0,1TB HDD,AMD Radeon RX 6600,15.6,3840x2160,8.2,1.71,Windows,3694.19
Microsoft,Intel i7,16.0,1TB HDD,Integrated,13.3,2560x1440,4.9,2.06,FreeDOS,1096.4
Microsoft,Intel i5,4.0,1TB HDD,Integrated,16.0,1920x1080,9.7,3.24,Linux,530.97
Acer,Intel i5,32.0,512GB SSD,Nvidia RTX 3060,16.0,2560x1440,5.2,2.12,macOS,2092.54
Samsung,Intel i3,4.0,256GB SSD,Nvidia RTX 3060,15.6,1920x1080,11.8,2.92,Windows,816.21
Asus,AMD Ryzen 3,64.0,1TB SSD,Nvidia GTX 1650,15.6,1920x1080,10.4,1.23,Linux,2292.98
Apple,AMD Ryzen 7,64.0,256GB SSD,Nvidia GTX 1650,17.3,2560x1440,9.7,2.32,macOS,5960.52
Samsung,AMD Ryzen 3,16.0,256GB SSD,Nvidia RTX 2060,15.6,3840x2160,8.7,2.63,Linux,1781.61
Microsoft,AMD Ryzen 7,8.0,512GB SSD,AMD Radeon RX 6800,17.3,3840x2160,8.7,2.41,Windows,2404.24
Asus,AMD Ryzen 5,32.0,512GB SSD,AMD Radeon RX 6800,17.3,2560x1440,10.9,1.61,Windows,2114.61
MSI,AMD Ryzen 9,16.0,512GB SSD,Nvidia RTX 3060,16.0,2560x1440,9.9,3.15,macOS,3470.41
Microsoft,AMD Ryzen 5,4.0,1TB HDD,Nvidia RTX 3060,16.0,1366x768,10.0,2.36,macOS,663.21
MSI,AMD Ryzen 3,64.0,1TB SSD,Nvidia RTX 3060,13.3,1366x768,10.5,1.83,FreeDOS,2220.99
Lenovo,Intel i7,64.0,1TB HDD,Nvidia RTX 3080,16.0,1920x1080,8.7,3.23,FreeDOS,2689.59
MSI,AMD Ryzen 5,16.0,1TB HDD,Nvidia RTX 3080,14.0,1920x1080,4.8,1.21,FreeDOS,1259.54
Microsoft,AMD Ryzen 5,8.0,2TB SSD,Nvidia RTX 2060,14.0,1920x1080,5.5,2.2,Linux,940.5
Microsoft,Intel i9,64.0,1TB HDD,AMD Radeon RX 6800,14.0,3840x2160,9.2,3.04,FreeDOS,5485.21
Dell,Intel i7,16.0,512GB SSD,Nvidia GTX 1650,17.3,1366x768,9.9,3.04,Linux,1382.35
Razer,Intel i3,4.0,512GB SSD,Integrated,14.0,3840x2160,8.5,3.43,FreeDOS,1105.0
HP,AMD Ryzen 7,64.0,256GB SSD,Nvidia RTX 3060,15.6,1366x768,8.6,1.43,FreeDOS,2613.21
Dell,AMD Ryzen 5,32.0,1TB SSD,AMD Radeon RX 6600,13.3,1366x768,9.1,1.72,FreeDOS,1483.85
HP,Intel i5,4.0,1TB HDD,Nvidia RTX 3080,17.3,1366x768,5.6,3.02,Linux,672.48
MSI,AMD Ryzen 9,4.0,256GB SSD,Nvidia RTX 3060,13.3,2560x1440,10.9,2.95,Windows,2433.98
Samsung,Intel i3,16.0,512GB SSD,Integrated,15.6,1920x1080,10.3,3.27,Linux,901.17
Dell,AMD Ryzen 9,64.0,256GB SSD,Nvidia RTX 2060,13.3,1366x768,7.0,2.64,Linux,3277.3
Acer,Intel i7,32.0,256GB SSD,AMD Radeon RX 6800,13.3,3840x2160,8.5,2.16,Linux,3190.14
Apple,AMD Ryzen 3,64.0,1TB HDD,Nvidia RTX 3060,14.0,3840x2160,8.6,3.27,Windows,4042.37
